Province,policies,claim_freq,claim_freq_count,claim_severity_mean,claim_severity_median,margin_mean,margin_median
Eastern Cape,30336,0.0016482067510548524,50,27128.533277192982,6140.35087719298,25.833240030823408,2.43745614035
Free State,8099,0.0013581923694283246,11,32265.661084529474,8551.75438596491,20.55080541565478,3.545
Gauteng,393865,0.0033564800121869166,1322,22243.878395705604,6140.35087719298,-13.558894276343386,2.127017543859
KwaZulu-Natal,169781,0.002844841295551328,483,29609.487472667177,19302.798245614005,-6.433597617491435,2.654035087719
Limpopo,24836,0.002697696891608955,67,15171.294186959934,2261.40350877193,20.97148449330721,3.155087719298
Mpumalanga,52718,0.0024280132023217875,128,15979.55342105263,2500.0,15.016058741956236,1.804561403508
North West,143287,0.002435671065763119,349,16963.467034635298,3070.17543859649,10.958832158037309,1.8
Northern Cape,6380,0.0012539184952978057,8,11186.313596491224,6140.35087719298,35.59052741409995,1.50399122807
Western Cape,170796,0.002166327080259491,370,28095.849880512094,10377.407894736843,-3.4146889132270255,1.696315789473
